,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,Endorsement Data,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Big Lie,Big Lie Date,Big Lie Recanvasser,Big Lie Notes,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Notes
Joe Kent,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),"has signed on as a plaintiff in multiple lawsuits against Washington state alleging voter fraud and election manipulation; claimed ""rampant voter fraud"" in 2020 in facebook ad",No,Yes,Washington,8/2/2022,Representative,3,"50,097",35%,Won,N/A,N/A,N/A,Yes,9/1/2021,N/A,N/A,No,N/A,No,No,N/A,
Corey Gibson,Male,White,,,?,3/15/2023,Nathaniel,"a tweet of his from this year: ""Thanks to @elonmusk maybe, just maybe, we can soon acknowledge things like… there are two biological sexes, hydroxychloroquine works, Hunter Biden is a criminal, the laptop proves it, and the 2020 election was FULL of documented fraud. #liberty #communismSUCKS #Trump #ElonMusk""",No,Yes,Washington,8/2/2022,Representative,4,"5,080",5%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Loren Culp,Male,White,,,Yes,3/10/2023,Kaleigh,"Axios: ""One is Loren Culp, who ran for governor in 2020 and later filed a baseless lawsuit alleging widespread election fraud — a claim he withdrew after the state threatened his lawyer with sanctions""",No,Yes,Washington,8/2/2022,Representative,4,"32,497",29%,Lost,N/A,N/A,N/A,Yes,2/9/2022,N/A,N/A,No,N/A,N/A,N/A,N/A,
Brad Klippert,Male,White,,,Yes,7/15/2022,Maya,"Northwest Public Broadcasting: ""Klippert has been looking for evidence of election fraud and has called for a full forensic audit of the election in Washington state. In August 2021, Klippert and two other Washington state legislators attended the Cyber Symposium in South Dakota, sponsored by Trump supporter Mike Lindell, and asked for travel costs reimbursement from taxpayers. Washington state paid Four thousand, three hundred and sixty-one dollars for the lawmaker’s hotels and flights to the conference."" Also solicited voter claims of fraud to increase support for an audit after 2020. ",No,Yes,Washington,8/2/2022,Representative,4,"15,430",14%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Jacek Kobiesa,Male,White,,,N/A,7/19/2022,N/A (they are N/A),self-identifies as an independent republican and has little digital presence with no mention of the 2020 election,No,Yes,Washington,8/2/2022,Representative,4,490,0%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
"Benancio ""Benny"" Garcia III",Male,Latino,,,N/A,3/15/2023,Nathaniel,general election doubt pedalling on his campaign website. UPDATE: Can't find campaign website anymore,No,Yes,Washington,8/2/2022,Representative,4,"2,148",2%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Jerrod Sessler,Male,White,,,Yes,3/10/2023,Kaleigh,"a ton of tweets, including this from Dec 2020: ""What a disrespectful crap show start in #MichiganHearing . @RudyGiuliani . Go Rudy! #trump2020 #StopTheSteaI"" ; regularly tweets ""2020 election was stolen""",No,Yes,Washington,8/2/2022,Representative,4,"18,495",16%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Dan Newhouse,Male,White,,,No,12/1/2022,N/A (checked against interactive),"voted to impeach Trump after Jan 6, did not join GOP in blocking electoral votes and signed a letter about electoral college certification",Yes,No,Washington,8/2/2022,Representative,4,"38,331",34%,Won,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Cathy McMorris Rodgers,Female,White,,,No?,12/1/2022,N/A (checked against interactive),"she voted to certify Biden, although only after Jan 6 and notably was vocal about not certifying up until the night before. she also voted against the Jan 6 committee formation",Yes,No,Washington,8/2/2022,Representative,5,"106,072",86%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,
Sean Clynch,Male,White,,,No?,7/26/2022,Maya,"""Hi Paulina. While I believe a lot of shady activities took place during the 2020 election campaign, not least the media's refusal to vet Joe Biden for the office of the Presidency and for which we are all now paying, no I don't believe Trump won, as he failed to prove any differently in a court of law. And despite the in kind assistance of the media and the loosening of election laws to benefit democrats I do believe Biden is the legitimate President. Like most Republicans I am looking forward not backward."" ",No,Yes,Washington,8/2/2022,Representative,5,"16,831",14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Chris Binns,Male,White,,,N/A,7/19/2022,N/A (they are N/A),very broadly mentions election reform on his website - not sure it's enough but it is there,No,No,Washington,8/2/2022,Representative,6,"11,074",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Todd A. Bloom,Male,White,,,N/A,7/19/2022,N/A (they are N/A),little to zero digital presence beside Andrew Jackson-worshipping website; no mention of the 2020 election,No,No,Washington,8/2/2022,Representative,6,"24,036",27%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Elizabeth Kreiselmaier,Female,White,,,Declined to answer,12/1/2022,N/A (checked against interactive),"local Kitsap Sun asked her, ""Who won the 2020 presidential election and is Joe Biden the legitimately elected president of the U.S.?"" and she said, ""I know a trick question when I see one, and I’m not taking the bait. We all saw 2020’s elections. Some were outraged by what they saw. Some were elated. Some were unfazed. No matter the lens worn, one thing is clear now and always: election integrity is of vital importance, regardless of party affiliation or political viewpoint. Why? Because if we fail to have free and fair elections, we fail to have a free and fair country. Regardless of the perceived outcomes of 2020, Americans are currently living with Joe Biden as the sitting president of the United States. And according to recent polling, Americans are none too happy with the direction that Joe Biden, as President, is taking us (along with his obedient footsoldiers such as my opponent Derek Kilmer who votes in lockstep with him).  And that, my friends, is what elections are for!""",No,No,Washington,8/2/2022,Representative,6,"54,621",61%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cliff Moon,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),little to zero digital presence with no mention of the 2020 election,No,No,Washington,8/2/2022,Representative,7,"15,834",59%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Paul Glumaz,Male,Latino (Mexican),,,Yes,3/15/2023,Nathaniel,"says this in a youtube video, with the screenshot of the description linked in column E",No,No,Washington,8/2/2022,Representative,7,"10,982",41%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Reagan Dunn,Male,White,,,No,3/10/2023,Kaleigh,said in an interview that Trump lost and does not question the legitimacy of Biden's victory,No,No,Washington,8/2/2022,Representative,8,"29,494",29%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Matt Larkin,Male,White,,,Declined to Answer,12/1/2022,N/A (checked against interactive),"DCCC coverage of him: ""WA-08 candidate Matt Larkin’s extremism was on full display during a damaging new interview in which he refused to accept the results of the 2020 election and refused to take a stance on setting up a bipartisan commission to investigate the Jan. 6 riot, which resulted in 5 deaths and hundreds of injuries.""",No,No,Washington,8/2/2022,Representative,8,"34,684",35%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dave Chapman,Male,Unknown,,,N/A,7/19/2022,N/A (they are N/A),little to zero digital presence with no mention of the 2020 election,No,No,Washington,8/2/2022,Representative,8,"1,811",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jesse Jensen,Male,White,,,?,7/19/2022,Maya,DCCC consolidated CNN coverage of Jensen's Big Lie pedalling,No,No,Washington,8/2/2022,Representative,8,"26,350",26%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Scott Stephenson,Male,White,,,Yes,3/15/2023,Nathaniel,"from his website: ""Let’s be very clear — the 2020 election was stolen. Dead people voted. States changed laws unconstitutionally. Ballots were illegally harvested and trafficked.  Big Tech, mainstream media, and others colluded to interfere, including by actively suppressing the Hunter Biden laptop story.""",No,No,Washington,8/2/2022,Representative,8,"7,954",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Doug Basler,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),has signed on as a plaintiff in multiple lawsuits against Washington state alleging voter fraud and election manipulation,No,No,Washington,8/2/2022,Representative,9,"29,144",74%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sea M. Chan,Male,Asian (Chinese),,,N/A,7/19/2022,N/A (they are N/A),little digital presence with no mention of the 2020 election,No,No,Washington,8/2/2022,Representative,9,"5,338",14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Seth D. Pedersen,Male,White,,,N/A,7/19/2022,N/A (they are N/A),little digital presence with no mention of the 2020 election,No,No,Washington,8/2/2022,Representative,9,"4,781",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Keith R. Swank,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),an endless stream of tweets,No,No,Washington,8/2/2022,Representative,10,"55,231",84%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dan Earnest Gordon,Male,White,,,N/A,3/10/2023,Kaleigh,broad claim of election integrity on his website -,No,No,Washington,8/2/2022,Representative,10,"10,315",16%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Diana Lynn Harshbarger,Female,White,,,Yes,12/1/2022,N/A (checked against interactive),voted not to certify 2020 election results ,Yes,No,Tennessee,8/4/2022,Representative,1,"43,761",100%,Won,N/A,N/A,N/A,Yes,9/19/2021,N/A,N/A,N/A,N/A,Yes,Yes,N/A,
Tim Burchett,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),voted not to certify 2020 election results ,Yes,No,Tennessee,8/4/2022,Representative,2,"56,880",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sandy Casey,Female,White,,,?,7/25/2022,Maya,"facebook posts about general election fraud claims, including this share of Maricopa County audits",No,Yes,Tennessee,8/4/2022,Representative,3,"13,609",21%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chuck Fleischmann,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),voted not to certify 2020 election results ,Yes,No,Tennessee,8/4/2022,Representative,3,"52,073",79%,Won,N/A,N/A,N/A,Yes,11/9/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Scott DesJarlais,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),voted not to certify 2020 election results ,Yes,No,Tennessee,8/4/2022,Representative,4,"60,699",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Geni Batchelor,Female,White,,,N/A,7/25/2022,N/A (they are N/A),general fraud accusations regarding the Biden admin on her fb page but it is unclear whether it is regarding the election or policies she's critiquing - would be better to reach out to the campaign i think,No,No,Tennessee,8/4/2022,Representative,5,"1,017",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Jeff Beierlein,Male,White,,,N/A,7/25/2022,N/A (they are N/A),nothing about his stance on this issue,No,No,Tennessee,8/4/2022,Representative,5,"4,093",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Natisha Brooks,Female,Black,,,N/A,7/25/2022,N/A (they are N/A),limited digital presence and nothing about her stance on this issue,No,No,Tennessee,8/4/2022,Representative,5,"1,747",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Beth Harwell,Female,White,,,Yes,3/15/2023,Nathaniel,local media tweeted this video where she is talking about ballot harvesting corrupting the 2020 election (around 0:55),No,No,Tennessee,8/4/2022,Representative,5,"15,021",25%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,
Timothy Bruce Lee,Male,White,,,N/A,7/26/2022,N/A (they are N/A),"minial digital presence - nothing relevant on his website or local coverage, no socials to be found",No,No,Tennessee,8/4/2022,Representative,5,845,1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Andy Ogles,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),"local coverage: ""Ogles has been an outspoken political figure through the ongoing COVID-19 pandemic. He also spoke at Stop the Steal rallies in Tennessee following the national election in 2020, though claims of widespread voter fraud have been repeatedly debunked and shuffled out of any court."" Also tweeted about need to prosecute election fraud.",No,No,Tennessee,8/4/2022,Representative,5,"21,325",35%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Stewart T. Parks,Male,White,,,Yes,3/10/2023,Kaleigh,"local media tweeted this video where he says, Biden ""is not the legal President of the United States of America"" (around 0:25) + he was arrested and later charged for his Jan 6 involvement",No,No,Tennessee,8/4/2022,Representative,5,586,1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Kurt Winstead,Male,White,,,N/A,7/26/2022,N/A (they are N/A),no mention of his stance on this issue on his fb/twitter/site or in local coverage,No,No,Tennessee,8/4/2022,Representative,5,"12,721",21%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Tres Wittum,Male,White,,,Yes,7/25/2022,Maya,"local media tweeted this video where he says, ""President Trump won the election"" (within the first 10 seconds)",No,No,Tennessee,8/4/2022,Representative,5,398,1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
John Rose,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),voted not to certify 2020 election results ,Yes,No,Tennessee,8/4/2022,Representative,6,"57,162",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark E. Green,Male,White,,,?,12/1/2022,N/A (checked against interactive),voted not to certify 2020 election results bc of federalism; won't say there was fraud,Yes,No,Tennessee,8/4/2022,Representative,7,"48,968",100%,Won,N/A,N/A,N/A,Yes,7/5/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Danny Ray Bridger Jr.,Male,White,,,?,3/15/2023,Nathaniel,"local coverage of his stance: ""“There was election fraud,” he said. “Follow the money. You think Republicans can’t be bought off? It’s been happening for years. Bullying don’t just happen in school—it happens in government too.”",No,Yes,Tennessee,8/4/2022,Representative,8,"4,233",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gary Dean Clouse,Male,White,,,Yes,3/10/2023,Kaleigh,"local coverage describing his claims: ""Clouse listed “massive amounts” of what he believed to be supposed voter fraud in Arizona, Wisconsin, Georgia and more, some of which the U.S. Supreme Court rejected in 2021."" later in the article, after being asked why he thought the 2020 election was stolen, he replied, ""“Because I sat and watched as the media tried to portray that Arizona confirmed Biden —that was not true!” Clouse said.""",No,Yes,Tennessee,8/4/2022,Representative,8,"2,291",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bob Hendry,Male,White,,,Yes,7/25/2022,Maya,"local coverage of him supporting voter fraud claims and confirming Jan 6 attend. Hendry staunchly disagreed, mentioning an instance of supposed voter fraud that was struck down by the U.S. Supreme Court,  admitting that he was in attendance on Jan. 6. “I was an eyewitness,” he said. “This was not an insurrection. There were enough people there that if they really wanted to go in there and take the country, they could’ve done it with their bare hands.” """,No,Yes,Tennessee,8/4/2022,Representative,8,"6,990",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David Kustoff,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),voted not to certify 2020 election results ,Yes,No,Tennessee,8/4/2022,Representative,8,"69,538",84%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Leo AwGoWhat,Male,White,,,?,3/15/2023,Nathaniel,personal fb page full of fraud theory shares and links,No,No,Tennessee,8/4/2022,Representative,9,"1,000",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Charlotte Bergmann,Female,Black,,,Yes,12/1/2022,N/A (checked against interactive),"a lot of tweets about fraud theories, including mention of ""#StopTheSteal""",No,No,Tennessee,8/4/2022,Representative,9,"10,380",52%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brown Dudley,Male,White,,,N/A,7/26/2022,N/A (they are N/A),"minial digital presence - nothing relevant on his website or local coverage, no socials to be found",No,No,Tennessee,8/4/2022,Representative,9,"8,760",43%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bill Lee,Male,White,,,No?,12/1/2022,N/A (checked against interactive),didn't recognize Biden's win as legitimate until after Jan 6 and was pedalling claims until then,Yes,No,Tennessee,8/4/2022,Governor,N/A,"494,362",100%,Won,N/A,N/A,N/A,Yes,8/13/2021,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Themis Klarides,Female,White,,,No,3/10/2023,Kaleigh,"Told ABC ""Themis absolutely does not subscribe to the conspiracy theory that the 2020 election was stolen and she acknowledges President Biden as the fair winner, and duly-elected President,"" but said prior to 2020 election that fraud was widespread in CT. Not sure that should count, though, since it wasn't about 2020.",No,No,Connecticut,8/9/2022,Senator,N/A,"37,003",40%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Leora R. Levy,Female,Latino (Cuban),,,?,12/1/2022,N/A (checked against interactive),"in campaign ad, said Klarides ""helped Democrats made it easier to cheat with mail-in ballots""",No,No,Connecticut,8/9/2022,Senator,N/A,"46,774",51%,Won,N/A,N/A,N/A,Yes,8/4/2022,N/A,N/A,N/A,N/A,Yes,N/A,N/A,
Peter Lumaj,Male,White,,,N/A,7/26/2022,N/A (they are N/A),,No,No,Connecticut,8/9/2022,Senator,N/A,"8,665",9%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Larry Lazor,Male,White,,,No,12/1/2022,N/A (checked against interactive),"""I agree that...the 2020 election was not stolen.""",No,No,Connecticut,8/9/2022,Representative,1,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike France,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,Connecticut,8/9/2022,Representative,2,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lesley DeNardis,Female,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,Connecticut,8/9/2022,Representative,3,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jayme Stevenson,Female,White,,,No,12/1/2022,N/A (checked against interactive),"""I believe that there were a lot of smart people in Washington that investigated and held hearings, and did not find evidence of broad based voter fraud. I certainly accept President Biden as our president. And so let’s move on. Let’s help make our voting environment easier for people to vote and harder for them to cheat. And if everybody keeps working toward those goals, I think we’ll be in a good place.”",No,No,Connecticut,8/9/2022,Representative,4,"9,962",60%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Ted Goldstein,Male,White,,,No?,3/15/2023,Nathaniel,"Goldstein said that the irregularities may have existed in the 2020 election — and that all elections have them — but they would not have changed the outcome of the election. 

“As far as Joe Biden, I always support the office of the President of the United States of America, but I may not always support Joe Biden,” he said in an email.",No,No,Connecticut,8/9/2022,Representative,4,"6,555",40%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
George Logan,Male,Black,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,Connecticut,8/9/2022,Representative,5,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Robert Stefanowski,Male,White,,,No,12/1/2022,N/A (checked against interactive),"Like most Republicans running for office in Connecticut, Stefanowski has broken with the former president over his claim that President Joe Biden won by fraud. Also has said directly that Biden is the legitimately elected president",No,No,Connecticut,8/9/2022,Governor,N/A,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brad Finstad,Male,White,,,No,12/1/2022,N/A (checked against interactive),"according to local coverage, he ""says he would have voted to certify the 2020 presidential election""",No,No,Minnesota,8/9/2022,Representative,1,"48,252",76%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jeremy Munson,Male,White,,,Yes,3/10/2023,Kaleigh,"according to local coverage, he says he ""would not have voted to certify the election results""; signed a letter supporting forensic election audits in all 50 states",No,No,Minnesota,8/9/2022,Representative,1,"15,207",24%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tyler Kistner,Male,White,,,Declined to answer,12/1/2022,N/A (checked against interactive),"tried to the results in his own 2020 election but has since been evading the question about Biden's legitimate win - from CNN: ""In Minnesota, Kistner filed a lawsuit in late November 2020 to temporarily halt the certification of his loss against Democratic Rep. Angie Craig and order a recount, which was rejected by the state Supreme Court. A spokesman for Kistner, a Marine Corps veteran, declined to answer questions about whether Kistner believed Biden legitimately won the election.""",No,No,Minnesota,8/9/2022,Representative,2,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Tom Weiler,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),minial digital presence - nothing relevant on socials/site/local coverage,No,No,Minnesota,8/9/2022,Representative,3,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gene Rechtzigel,Male,White,,,N/A,7/25/2022,N/A (they are N/A),really messy website (https://www.geneforpeople.org/about-1.html) and no media coverage of his stances,No,No,Minnesota,8/9/2022,Representative,4,"4,753",22%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jerry Silver,Male,White,,,N/A,7/25/2022,N/A (they are N/A),limited digital presence and nothing about her his on this issue,No,No,Minnesota,8/9/2022,Representative,4,"7,399",34%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May Lor Xiong,Female,Asian (Vietnamese / Hmong),,,N/A,12/1/2022,N/A (checked against interactive),limited digital presence and nothing about her stance on this issue,No,No,Minnesota,8/9/2022,Representative,4,"9,574",44%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cicely Davis,Female,Black,,,N/A,12/1/2022,N/A (checked against interactive),limited digital presence and nothing about her stance on this issue,No,No,Minnesota,8/9/2022,Representative,5,"4,765",48%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Guy T. Gaskin,Male,Unknown,,,N/A,7/25/2022,N/A (they are N/A),can't even find a campaign website - very limited digital presence,No,No,Minnesota,8/9/2022,Representative,5,"1,476",15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Royce White,Male,Black,,,Declined to answer,7/25/2022,Maya,local coverage saying he dodged the question,No,No,Minnesota,8/9/2022,Representative,5,"3,689",37%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tom Emmer,Male,White,,,No?,12/1/2022,N/A (checked against interactive),he supported legal action to overturn election in Dec 2020 but ultimately voted to certify the results,Yes,No,Minnesota,8/9/2022,Representative,6,1,100%,Won,N/A,N/A,N/A,Yes,8/9/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michelle Fischbach,Female,White,,,Yes,12/1/2022,N/A (checked against interactive),voted not to certify 2020 election results ,Yes,No,Minnesota,8/9/2022,Representative,7,"59,429",100%,Won,N/A,N/A,N/A,Yes,8/9/2022,N/A,N/A,N/A,N/A,Yes,Yes,N/A,
Pete Stauber,Male,White,,,No?,12/1/2022,N/A (checked against interactive),he supported legal action to overturn election in Dec 2020 but ultimately voted to certify the results,Yes,No,Minnesota,8/9/2022,Representative,8,"51,410",91%,Won,N/A,N/A,N/A,Yes,8/9/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Harry Robb Welty,Male,White,,,No,3/15/2023,Nathaniel,"he published an op-ed, criticizing the incumbent/his opponent, in a local paper that begins, ""Our Congressman Pete Stauber sent me an email asking, “Why aren’t we cracking down on crime?” Our ex-policeman ought to look in the mirror. He has twice sworn an oath to God to preserve America’s democracy as our congressman. But since President Donald Trump’s attempted overthrow of our democracy, Stauber has acted more like a cop on the take, twiddling his thumbs."" - calling Trump's actions an ""attempted overthrow of our democracy"" sounds like a ""No"" to me",No,Yes,Minnesota,8/9/2022,Representative,8,"5,075",9%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Bob ""Again"" Carney Jr.",Male,White,,,No,3/10/2023,Kaleigh,"campaign website says he wants to keep trump out in 2024, and there are countless other posts anti-trump... ""During the 2020 campaign I wrote: “Shortly after a close, disputed election — or even before — it is simply impossible to predict what President Trump might do on a claimed emergency basis — or what the ultimate result might be. Under our current incredibly dangerous circumstances I believe there is no reasonable alternative but to support Joe Biden and oppose Jason Lewis. Minnesota must continue to investigate and challenge the Dangerous Opinions of both President Trump and Jason Lewis from now to November.”""",No,No,Minnesota,8/9/2022,Governor,N/A,"13,213",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Scott Jensen,Male,White,,,Declined to answer,12/1/2022,N/A (checked against interactive),"local coverage on a Dec debate noting that five candidates avoided the question: ""“I can’t know what I don’t know, and I think we have to take that attitude towards 2020,” said former state Sen. Scott Jensen""",No,No,Minnesota,8/9/2022,Governor,N/A,"288,499",89%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joyce Lynne Lacey,Female,White,,,N/A,7/25/2022,N/A (they are N/A),limited digital presence and nothing about her stance on this issue,No,No,Minnesota,8/9/2022,Governor,N/A,"21,308",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gerald Malloy,Male,White,,,No,12/1/2022,N/A (checked against interactive),"from local coverage on this race: ""Each candidate agreed that President Joe Biden won the 2020 election. But answers varied in response to a question about how they characterized the storming of the U.S. Capitol on Jan. 6, 2021."" Malloy did not attend but did consider and regrets not attending Jan 6",No,No,Vermont,8/9/2022,Senator,N/A,"12,169",40%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Myers Mermel,Male,White,,,No,7/25/2022,Maya,"from local coverage on this race: ""Each candidate agreed that President Joe Biden won the 2020 election. But answers varied in response to a question about how they characterized the storming of the U.S. Capitol on Jan. 6, 2021.""",No,No,Vermont,8/9/2022,Senator,N/A,"5,227",17%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
