,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,Misc. Stuff
Carl Boyanton,Male,White,,,Other,,Meredith,2/22/24,No,Yes,Mississippi,3/12/24,Representative,4,,13432,18.93%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Mike Ezell,Male,White,,,Pro-Life,,Meredith,2/22/24,Yes,No,Mississippi,3/12/24,Representative,4,H2MS04258,52028,73.33%,Won,N/A,N/A,N/A,Yes,3/2/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Michael McGill,Male,White,,,No mention,Has issues on campaign website; doesnt mention abortion,Meredith,2/22/24,No,Yes,Mississippi,3/12/24,Representative,4,,5493,7.74%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Dan Eubanks,Male,White,,,Pro-Life,,Meredith,2/22/24,No,Yes,Mississippi,3/12/24,Senator,N/A,,34238,13.82%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Ghannon Burton,Male,White,,,No mention,has issues on campaign website; doesnt mention abortion,Meredith,2/22/24,No,Yes,Mississippi,3/12/24,Senator,N/A,,61387,24.78%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Roger F. Wicker,Male,White,,,No mention,No issues page on site,Meredith,2/22/24,Yes,No,Mississippi,3/12/24,Senator,N/A,S8MS00196,152086,61.40%,Won,N/A,N/A,N/A,Yes,2/29/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Montelle L. Gaji,Female,Black,,,N/A,no website,Meredith,3/12/24,No,No,Illinois,3/19/24,Representative,1,,3814,19.97%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Marcus Lewis,Male,Black,,,Pro-Life,"""I AM PRO-LIFE WITH EXCEPTIONS FOR THE LIFE OF THE MOTHER, RAPE AND INCEST.""",Meredith,3/13/24,No,No,Illinois,3/19/24,Representative,1,,15282,80.03%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ashley Ramos,Female,hispanic,,,Pro-Life,,Meredith,3/14/24,No,No,Illinois,3/19/24,Representative,2,,20527,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Booras,Male,White ,,,No mention,has issues on campaign website; doesnt mention abortion,Meredith,3/14/24,No,No,Illinois,3/19/24,Representative,3,,15468,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tommy Hanson,Male,White,,,Pro-Life,,Meredith,3/14/24,No,No,Illinois,3/19/24,Representative,5,,18841,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Niki Conforti,Female,Unknown,,,Pro-Life,,Meredith,3/14/24,No,No,Illinois,3/19/24,Representative,6,,30543,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chad Koppie,Male,White,,,Pro-Life,"Click on the ""family"" section, and it says ""Protect and defend life."" Also has ""sanctity of life""",Meredith,3/14/24,No,No,Illinois,3/19/24,Representative,7,,5604,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark Rice,Male,White,,,No mention,has issues on campaign website; doesnt mention abortion,Meredith,3/14/24,No,No,Illinois,3/19/24,Representative,8,,24362,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jim Carris,Male,White,,,No mention,"he's got a statement against the AL court ruling re: IVF, but doesn't mention abortion anywhere",Meredith,3/14/24,No,No,Illinois,3/19/24,Representative,10,,19771,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jerry Evans,Male,White,,,No mention,has issues; no mention of abortion in issues page or bio,Meredith,3/14/24,No,No,Illinois,3/19/24,Representative,11,,17814,50.67%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Susan Hathaway-Altman,Female,White,,,No mention,"has issues, issues overview, and about. no mention of abortion anywhere",Meredith,3/14/24,No,No,Illinois,3/19/24,Representative,11,,13032,37.01%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
O Kent Mercado,Male,White,,,No mention,,Meredith,3/14/24,No,No,Illinois,3/19/24,Representative,11,,4312,12.26%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Darren Bailey,Male,White,,,Pro-Life,,Meredith,3/14/24,No,Yes,Illinois,3/19/24,Representative,12,,46035,48.56%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Mike Bost,Male,White,,,Pro-Life,,Meredith,3/14/24,Yes,No,Illinois,3/19/24,Representative,12,H4IL12060,48770,51.44%,Won,N/A,N/A,N/A,Yes,2/20/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Thomas Clatterbuck,Male,White,,,No mention,,Meredith,3/14/24,No,No,Illinois,3/19/24,Representative,13,,12320,44.07%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joshua Loyd,Male,White,,,No mention,,Meredith,3/14/24,No,No,Illinois,3/19/24,Representative,13,,15633,55.93%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Charlie Kim,Male,Asian (Korean),,,Other,"""reproductive rights for life and prenatal care""",Meredith,3/14/24,No,No,Illinois,3/19/24,Representative,14,,6571,20.92%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"James T. ""Jim"" Marter",Male,White,,,Pro-Life,,Meredith,3/14/24,No,No,Illinois,3/19/24,Representative,14,,24828,79.04%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mary Miller,Female,White,,,Pro-Life,,Meredith,3/14/24,Yes,No,Illinois,3/19/24,Representative,15,H0IL15129,65205,100.00%,Won,N/A,N/A,N/A,Yes,3/17/24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Darin LaHood,Male,white,,,Pro-Life,,Meredith,3/14/24,Yes,No,Illinois,3/19/24,Representative,16,H6IL18088,59324,100.00%,Won,N/A,N/A,N/A,Yes,3/17/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Scott Alan Crowl,Male,white,,,No mention,has issues and about; no abortion mentioned,Meredith,3/14/24,No,No,Illinois,3/19/24,Representative,17,,9696,32.41%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joe McGraw,Male,white,,,No mention,,Meredith,3/14/24,No,No,Illinois,3/19/24,Representative,17,,20223,67.59%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Orlando Sonza,Male,hispanic,,,Pro-Life,,Irena,2/27/24,No,No,Ohio,3/19/24,Representative,1,,43554,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Niraj Antani,Male,Asian (Indian),,,Pro-Life,,Irena,2/27/24,No,No,Ohio,3/19/24,Representative,2,,1700,1.65%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kim Georgeton,Female,white,,,Pro-Life,,Irena,2/27/24,No,No,Ohio,3/19/24,Representative,2,,2311,2.24%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Phil Heimlich,Male,white,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/28/24,No,No,Ohio,3/19/24,Representative,2,,5080,4.93%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ron Hood,Male,white,,,Pro-Life,,Irena,2/28/24,No,No,Ohio,3/19/24,Representative,2,,9020,8.76%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tom Hwang,Male,Asian,,,N/A,no website,Irena,2/28/24,No,No,Ohio,3/19/24,Representative,2,,3202,3.11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Larry Kidd,Male,white,,,Pro-Life,,Irena,2/28/24,No,No,Ohio,3/19/24,Representative,2,,19583,19.01%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Derek Myers,Male,white,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/28/24,No,No,Ohio,3/19/24,Representative,2,,1565,1.52%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tim O'Hara,Male,white,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/29/24,No,No,Ohio,3/19/24,Representative,2,,22626,21.97%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Charles Tassell,Male,white,,,Pro-Life,Endorsed by Right to Life Action Coalition of Ohio (shown on homepage),Irena,2/29/24,No,No,Ohio,3/19/24,Representative,2,,1737,1.69%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David J. Taylor,Male,white,,,Pro-Life,,Irena,3/8/24,No,No,Ohio,3/19/24,Representative,2,,26247,25.48%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Shane Wilkin,Male,white,,,Pro-Life,Endorsed by Ohio Right to Life (shown on homepage),Irena,3/8/24,No,No,Ohio,3/19/24,Representative,2,,9932,9.64%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Young,Male,white,,,N/A,no website,Irena,3/8/24,No,No,Ohio,3/19/24,Representative,3,,22066,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jim Jordan,Male,white,,,Pro-Life,,Irena,3/8/24,Yes,No,Ohio,3/19/24,Representative,4,H6OH04082,94294,100.00%,Won,N/A,N/A,N/A,Yes,3/17/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Bob Latta,Male,white,,,Pro-Life,,Irena,3/8/24,Yes,No,Ohio,3/19/24,Representative,5,H8OH05036,70077,82.88%,Won,N/A,N/A,N/A,Yes,3/17/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Robert L. Owsiak Jr.,Male,white,,,N/A,no website,Irena,3/8/24,No,Yes,Ohio,3/19/24,Representative,5,,14478,17.12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Michael A. Rulli,Male,white,,,No mention,nothing on issues/about page but he has OH right to life on his endorsements page,Irena,3/8/24,No,No,Ohio,3/19/24,Representative,6,,43857,49.54%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Reggie Stoltzfus,Male,white,,,Pro-Life,,Irena,3/8/24,No,No,Ohio,3/19/24,Representative,6,,36033,40.70%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rick Tsai,Male,Asian (Chinese),,,N/A,no website,Irena,3/8/24,No,No,Ohio,3/19/24,Representative,6,,8641,9.76%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Max Miller,Male,white,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,3/8/24,Yes,No,Ohio,3/19/24,Representative,7,H2OH16051,62075,100.00%,Won,N/A,N/A,N/A,Yes,3/17/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Warren Davidson,Male,white,,,Pro-Life,,Irena,3/8/24,Yes,No,Ohio,3/19/24,Representative,8,H6OH08315,59712,79.99%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kay Rogers,Female,white,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,3/8/24,No,Yes,Ohio,3/19/24,Representative,8,,14933,20.01%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steve Lankenau,Male,white,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,3/8/24,No,No,Ohio,3/19/24,Representative,9,,6946,13.19%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Derek Merrin,Male,white,,,Other,"Heartbeat Bill, but doesn't use phrases outlined",Irena,3/8/24,No,No,Ohio,3/19/24,Representative,9,,27632,52.48%,Won,N/A,N/A,N/A,Yes,3/18/24,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Craig S. Riedel,Male,white,,,Pro-Life,,Irena,3/8/24,No,No,Ohio,3/19/24,Representative,9,,18072,34.32%,Lost,N/A,N/A,N/A,No,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Turner,Male,white,,,Pro-Life,,Irena,3/8/24,Yes,No,Ohio,3/19/24,Representative,10,H2OH03067,61941,100.00%,Won,N/A,N/A,N/A,Yes,3/17/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
James Hemphill,Male,black,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,3/8/24,No,No,Ohio,3/19/24,Representative,11,,3350,22.70%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alan Rapoport,Male,white,,,Other,states rights,Irena,3/8/24,No,No,Ohio,3/19/24,Representative,11,,8385,56.81%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Landry M. Simmons Jr.,Male,black,,,Pro-Life,,Irena,3/8/24,No,No,Ohio,3/19/24,Representative,11,,3024,20.49%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Troy Balderson,Male,white,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,3/8/24,Yes,No,Ohio,3/19/24,Representative,12,H8OH12180,81263,100.00%,Won,N/A,N/A,N/A,Yes,3/17/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Chris Banweg,Male,white,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,3/8/24,No,No,Ohio,3/19/24,Representative,13,,16703,27.57%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kevin Coughlin,Male,white,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,3/8/24,No,No,Ohio,3/19/24,Representative,13,,39378,65.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Richard A. Morckel,Male,white,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,3/8/24,No,No,Ohio,3/19/24,Representative,13,,4496,7.42%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Elayne J. Cross,Female,white,,,Pro-Life,,Irena,3/8/24,No,Yes,Ohio,3/19/24,Representative,14,,10562,13.10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
David P. Joyce,Male,white,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,3/8/24,Yes,No,Ohio,3/19/24,Representative,14,H2OH14064,61785,76.65%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Ken Polke,Male,white,,,N/A,no website,Irena,3/8/24,No,Yes,Ohio,3/19/24,Representative,14,,8257,10.24%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Mike Carey,Male,white,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,3/8/24,Yes,No,Ohio,3/19/24,Representative,15,H2OH15228,51073,100.00%,Won,N/A,N/A,N/A,Yes,3/17/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Matt Dolan,Male,white,,,Pro-Life,,Irena,3/8/24,No,No,Ohio,3/19/24,Senator,N/A,,363013,32.86%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Frank LaRose,Male,white,,,Pro-Life,,Irena,3/8/24,No,No,Ohio,3/19/24,Senator,N/A,,184111,16.67%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bernie Moreno,Male,white,,,Pro-Life,,Irena,3/8/24,No,No,Ohio,3/19/24,Senator,N/A,,557626,50.48%,Won,N/A,N/A,N/A,Yes,12/19/23,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brian Fitzpatrick,Male,white,,,No mention,"Has issues on site, no mention of abortion",Irena,4/11/24,Yes,No,Pennsylvania,4/23/24,Representative,1,H6PA08277,45052,61.52%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Mark Houck,Male,white,,,Pro-Life,"""I will always support life"". Although this doesn't count for the methodology, his Important Links page lists many articles that refer to him as ""pro-life""",Irena,4/11/24,No,Yes,Pennsylvania,4/23/24,Representative,1,,28180,38.48%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Aaron Bashir,Male,asian (Pakistani),,,Pro-Life,,Irena,4/11/24,No,No,Pennsylvania,4/23/24,Representative,2,,9748,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David Winkler,Male,white,,,Other,,Irena,4/11/24,No,No,Pennsylvania,4/23/24,Representative,4,,43625,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alfeia Goodwin,Female,black,,,No mention,website has no content,Irena,4/11/24,No,No,Pennsylvania,4/23/24,Representative,5,,37361,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Neil Young,Male,White,,,No mention,"Has issues on site, no mention of abortion",Irena,4/11/24,No,No,Pennsylvania,4/23/24,Representative,6,,45072,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kevin Dellicker,Male,white,,,Pro-Life,,Irena,4/11/24,No,No,Pennsylvania,4/23/24,Representative,7,,18835,34.03%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ryan E. Mackenzie,Male,white,,,Pro-Life,,Irena,4/11/24,No,No,Pennsylvania,4/23/24,Representative,7,,23557,42.56%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Maria Montero,Female,hispanic,,,Pro-Life,,Irena,4/11/24,No,No,Pennsylvania,4/23/24,Representative,7,,12952,23.40%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rob Bresnahan Jr.,Male,white,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,4/11/24,No,No,Pennsylvania,4/23/24,Representative,8,,42365,100.00%,Won,N/A,N/A,N/A,Yes,4/13/24,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dan Meuser,Male,white,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,4/11/24,Yes,No,Pennsylvania,4/23/24,Representative,9,H8PA10147,77943,100.00%,Won,N/A,N/A,N/A,Yes,4/13/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Scott Perry,Male,white,,,Pro-Life,,Irena,4/11/24,Yes,No,Pennsylvania,4/23/24,Representative,10,H2PA04135,61596,100.00%,Won,N/A,N/A,N/A,Yes,4/13/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Lloyd K. Smucker,Male,white,,,Pro-Life,,Irena,4/11/24,Yes,No,Pennsylvania,4/23/24,Representative,11,H6PA16320,68039,100.00%,Won,N/A,N/A,N/A,Yes,4/13/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
James Hayes,Male,black,,,No mention,"Has issues on site, no mention of abortion",Irena,4/11/24,No,No,Pennsylvania,4/23/24,Representative,12,,34759,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Joyce,Male,white,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,4/11/24,Yes,No,Pennsylvania,4/23/24,Representative,13,H8PA13125,82675,100.00%,Won,N/A,N/A,N/A,Yes,4/13/24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Guy Reschenthaler,Male,white,,,No mention,"Has issues on site, no mention of abortion",Irena,4/11/24,Yes,No,Pennsylvania,4/23/24,Representative,14,H8PA18199,63162,100.00%,Won,N/A,N/A,N/A,Yes,4/13/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Glenn GT Thompson,Male,white,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,4/11/24,Yes,No,Pennsylvania,4/23/24,Representative,15,H8PA05071,75645,100.00%,Won,N/A,N/A,N/A,Yes,4/13/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Mike Kelly,Male,white,,,No mention,"Has issues on site, no mention of abortion",Irena,4/11/24,Yes,No,Pennsylvania,4/23/24,Representative,16,H0PA03271,60255,100.00%,Won,N/A,N/A,N/A,Yes,4/13/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Rob Mercuri,Male,white,,,No mention,"Has issues on site, no mention of abortion",Irena,4/11/24,No,No,Pennsylvania,4/23/24,Representative,17,,46974,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dave McCormick,Male,white,,,Pro-Life,,Irena,4/11/24,No,No,Pennsylvania,4/23/24,Senator,N/A,,878320,100.00%,Won,N/A,N/A,N/A,Yes,4/13/24,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark Leyva,Male,hispanic,,,Pro-Life,PROTECT THE UNBORN,Meredith ,4/22/24,No,No,Indiana,5/7/24,Representative,1,,7509,24.76%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Randy Niemeyer,Male,white,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Meredith ,4/22/24,No,No,Indiana,5/7/24,Representative,1,,18449,60.84%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ben Ruiz,Male,hispanic,,,No mention,"Has issues on site, no mention of abortion",Meredith ,4/22/24,No,No,Indiana,5/7/24,Representative,1,,4367,14.40%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rudy Yakym,Male,white,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Meredith ,4/22/24,Yes,No,Indiana,5/7/24,Representative,2,H2IN02295,50799,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Grant Bucher,Male,white,,,Pro-Life,,Meredith ,4/22/24,No,No,Indiana,5/7/24,Representative,3,,8259,10.27%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,No,
Wendy Davis,Female,white,,,Pro-Life,,Meredith ,4/22/24,No,No,Indiana,5/7/24,Representative,3,,15660,19.46%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,Yes,
Mike Felker,Male,white,,,No mention,"Has issues on site, no mention of abortion",Meredith ,4/22/24,No,No,Indiana,5/7/24,Representative,3,,1417,1.76%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,No,
Jon Kenworthy,Male,white,,,Pro-Life,,Meredith ,4/22/24,No,No,Indiana,5/7/24,Representative,3,,3064,3.81%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,No,
Tim Smith,Male,white,,,Pro-Life,,Meredith ,4/22/24,No,No,Indiana,5/7/24,Representative,3,,18204,22.63%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,No,
Marlin A. Stutzman,Male,white,,,Pro-Life,,Meredith ,4/22/24,No,No,Indiana,5/7/24,Representative,3,,19507,24.25%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,No,
Eric Whalen,Male,white,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Meredith ,4/22/24,No,No,Indiana,5/7/24,Representative,3,,1189,1.48%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,No,
Andy Zay,Male,white,,,Pro-Life,,Meredith ,4/22/24,No,No,Indiana,5/7/24,Representative,3,,13157,16.35%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,No,
Jim Baird,Male,white,,,Pro-Life,"His homepage says ""I’m the only candidate with a proven track record of being pro-life, pro-Israel, and supporter of the Second Amendment""",Meredith ,4/22/24,Yes,No,Indiana,5/7/24,Representative,4,H8IN04199,48723,64.72%,Won,N/A,N/A,N/A,Yes,4/30/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Charles Bookwalter,Male,white,,,No mention,"Has issues on site, no mention of abortion",Meredith ,4/22/24,No,Yes,Indiana,5/7/24,Representative,4,,20505,27.24%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
